V1	V2	coex_TNV.tsv	ppi.tsv	coex_SPL.tsv	HP.tsv	coex_BRO.tsv	coex_GEJ.tsv	coex_SKN.tsv	coex_BRC.tsv	coex_ARG.tsv	coex_CLS.tsv	MP.tsv	coex_FIB.tsv
PARN	PARN	0	1	0	0	0	0	0	0	0	0	0	0
ZNF839	PLA2G15	0	0	0	0	0	0	0	0	1	0	0	0
ZNF839	ALS2	0	0	0	0	0	0	0	0	0	0	0	1
RNF31	CIAPIN1	0	0	0	0	0	0	0	0	0	1	0	0
RNF31	AFG3L2	0	1	0	0	0	1	0	0	0	0	0	0
RNF31	ZNF839	0	0	0	0	0	0	0	1	0	0	0	0
RNF31	RNF31	0	1	0	0	0	0	0	0	0	0	0	0
SETX	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
SETX	FAM126A	0	0	0	1	0	0	0	0	0	0	0	0
SETX	FNDC3A	0	0	0	0	0	0	0	0	0	1	0	0
SETX	C19orf12	0	0	0	1	0	0	0	0	0	0	0	0
SETX	GNB4	0	0	0	1	0	0	0	0	0	0	0	0
SETX	AFG3L2	0	0	0	1	0	0	0	0	0	0	0	0
SETX	JPH1	0	0	0	1	0	0	0	0	0	0	0	0
SETX	CNST	0	0	1	0	0	0	0	0	0	0	0	1
SETX	SIGMAR1	0	0	0	1	0	0	0	0	0	0	0	0
SETX	DCAF8	0	0	0	1	0	0	0	0	0	0	0	0
SETX	ERLIN2	0	0	0	1	0	0	0	0	0	0	0	0
SETX	MFN2	0	0	0	1	0	0	0	0	1	0	0	0
SETX	ALS2	0	0	0	1	0	0	0	0	0	0	0	0
SETX	SETX	0	1	0	0	0	0	0	0	0	0	0	0
CWC15	HSCB	0	0	0	0	0	0	1	0	0	0	0	0
CWC15	CAPZA2	0	0	0	0	0	0	1	0	0	0	0	1
CWC15	C19orf12	0	0	1	0	0	0	0	0	0	0	0	0
CWC15	ALS2	0	0	0	0	0	0	0	0	1	0	0	0
MORC2	ALS2	0	0	0	0	0	0	0	0	1	0	0	0
MORC2	SETX	0	0	0	0	0	1	0	0	0	0	0	0
GBA2	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
GBA2	FAM126A	0	0	0	1	0	0	0	0	0	0	0	0
GBA2	IGHMBP2	0	0	0	0	1	0	0	0	0	0	0	1
GBA2	POLR3B	0	0	0	1	0	0	0	0	0	0	0	0
GBA2	C19orf12	0	0	0	1	0	0	0	0	0	0	0	0
GBA2	AFG3L2	0	1	0	1	0	0	0	0	0	0	0	0
GBA2	SIGMAR1	0	0	0	1	0	0	0	0	0	0	0	0
GBA2	DCAF8	0	0	0	0	0	1	0	0	0	0	0	0
GBA2	ERLIN2	0	0	0	1	0	0	0	0	0	0	0	0
GBA2	MFN2	0	0	0	1	0	0	0	0	0	0	0	0
GBA2	ALS2	0	0	0	1	0	0	0	0	0	0	0	0
GBA2	SETX	0	0	0	1	0	0	0	0	0	0	1	1
RANBP6	NARS1	0	0	0	0	1	1	0	0	0	0	0	0
RANBP6	SARS1	0	0	0	0	0	0	0	0	1	0	0	0
RANBP6	MFN2	0	0	0	0	0	0	0	0	1	0	0	0
OCIAD1	NARS1	0	0	0	0	1	0	1	0	0	0	0	0
OCIAD1	SPG11	0	0	0	0	0	1	0	0	0	0	0	0
OCIAD1	HSCB	0	1	0	0	0	0	0	0	0	0	0	0
OCIAD1	ATL3	0	0	1	0	0	0	0	0	0	0	0	0
OCIAD1	CAPZA2	0	0	0	0	0	0	0	0	0	0	0	1
OCIAD1	MPV17	0	0	0	0	0	1	0	0	0	0	0	0
OCIAD1	AFG3L2	0	1	0	0	0	0	0	0	0	0	0	0
OCIAD1	OCIAD1	0	1	0	0	0	0	0	0	0	0	0	0
ACO2	NARS1	0	0	0	0	0	0	0	0	0	1	0	0
ACO2	SARS1	0	0	0	0	0	0	0	1	0	0	0	0
ACO2	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
ACO2	HSCB	0	1	0	0	0	0	0	0	0	0	0	0
ACO2	SIGMAR1	0	0	0	0	0	1	0	0	0	0	0	0
ACO2	ERLIN2	0	0	0	0	0	0	0	0	1	0	0	0
ACO2	SURF1	0	0	0	1	0	0	0	0	0	0	0	0
ACO2	RNF31	0	0	0	0	0	0	0	0	0	0	0	1
HARS	OCIAD1	0	1	0	0	0	0	0	0	0	0	0	0
HARS	HARS	0	1	0	0	0	0	0	0	0	0	0	0
DYNC1H1	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
DYNC1H1	NEFH	0	0	0	0	0	0	0	0	1	0	0	0
DYNC1H1	FAM126A	0	0	0	1	0	0	0	0	0	0	0	0
DYNC1H1	SGPL1	0	0	0	0	0	0	1	0	0	0	0	0
DYNC1H1	HSCB	0	1	0	0	0	0	0	0	0	0	0	0
DYNC1H1	POLR3B	0	0	0	0	0	0	0	0	1	0	0	0
DYNC1H1	C19orf12	0	0	0	1	0	0	0	0	0	0	0	0
DYNC1H1	SDHA	0	0	0	0	0	1	0	0	0	0	0	0
DYNC1H1	GNB4	0	0	0	1	0	0	0	0	0	0	0	0
DYNC1H1	JPH1	0	0	0	1	0	0	0	0	0	0	0	0
DYNC1H1	SIGMAR1	0	0	0	1	0	0	0	0	0	0	0	0
DYNC1H1	DCAF8	0	0	0	1	0	0	0	0	0	0	0	0
DYNC1H1	ERLIN2	0	0	0	1	0	0	0	0	0	0	0	0
DYNC1H1	ALS2	0	0	1	1	0	0	0	0	0	0	0	0
DYNC1H1	PARN	0	0	0	0	0	1	0	0	0	0	0	0
DYNC1H1	RNF31	0	0	1	0	0	0	1	0	0	0	0	1
DYNC1H1	SETX	0	0	0	1	0	0	0	0	0	0	0	0
DYNC1H1	DYNC1H1	0	1	0	0	0	0	0	0	0	0	0	0
YARS	JPH1	0	0	0	1	0	0	0	0	0	0	0	0
YARS	DCAF8	0	0	0	1	0	0	0	0	0	0	0	0
YARS	DYNC1H1	0	1	0	0	0	0	0	0	0	0	0	0
YARS	YARS	0	1	0	0	0	0	0	0	0	0	0	0
HERC2	SPG11	0	0	0	0	0	0	0	0	1	0	0	0
HERC2	ATL3	0	0	0	0	0	0	0	0	1	0	0	0
HERC2	FNDC3A	0	1	0	0	0	0	0	0	0	0	0	0
HERC2	ERLIN2	0	1	0	0	0	0	0	0	1	0	0	0
HERC2	MFN2	0	0	0	0	0	1	0	0	0	0	0	0
HERC2	PARN	0	0	0	0	0	1	0	0	0	0	0	0
HERC2	SETX	0	0	0	0	0	0	0	0	0	0	0	1
HERC2	MORC2	0	0	0	0	0	1	0	0	0	0	0	0
HERC2	GBA2	0	0	0	0	0	0	0	0	0	0	0	1
HERC2	ACO2	0	0	0	0	0	1	0	0	0	0	0	0
HERC2	HERC2	0	1	0	0	0	0	0	0	0	0	0	0
GBF1	IGHMBP2	0	0	0	0	1	0	0	0	0	0	0	0
GBF1	HSCB	0	1	0	0	0	0	0	0	0	0	0	0
GBF1	FNDC3A	0	0	0	0	0	0	0	0	0	0	0	1
GBF1	CIAPIN1	0	0	0	0	0	0	0	0	0	1	0	0
GBF1	SDHA	0	0	0	0	0	0	0	0	0	1	0	0
GBF1	ERLIN2	0	0	0	0	0	0	0	0	0	1	0	0
GBF1	MFN2	0	0	0	0	0	0	0	0	1	0	0	0
GBF1	ALS2	0	0	0	0	0	0	0	0	1	0	0	0
GBF1	ZNF839	0	0	0	0	0	0	0	0	0	1	0	0
GBF1	MORC2	0	0	1	0	0	1	0	0	0	0	0	0
GBF1	ACO2	0	0	1	0	0	0	0	0	0	0	0	1
GNS	SPG11	0	0	0	0	0	0	0	0	0	0	0	1
GNS	GLB1	0	0	0	1	0	0	0	0	0	0	0	0
GNS	NAGLU	0	0	0	1	0	0	0	0	0	0	0	0
GNS	SGPL1	0	0	1	0	0	0	0	0	0	0	0	0
GNS	SDHA	0	0	0	0	0	0	0	0	1	0	0	0
GNS	ACO2	0	0	0	0	0	0	0	0	1	0	0	0
FIG4	NEFH	0	0	0	1	0	0	0	0	0	0	0	0
FIG4	GLB1	0	0	0	0	0	0	0	0	1	0	0	0
FIG4	IARS2	0	0	0	0	0	1	0	0	1	0	0	0
FIG4	SDHA	0	0	0	0	0	0	0	0	1	0	0	0
FIG4	RANBP6	0	0	0	0	1	0	0	0	0	0	0	0
SRPK2	NARS1	0	0	1	0	0	0	0	0	1	0	0	0
SRPK2	SPG11	0	0	1	0	0	1	0	0	0	0	0	0
SRPK2	SGPL1	0	1	0	0	0	0	0	0	0	0	0	0
SRPK2	AFG3L2	0	0	0	0	0	0	0	0	1	0	0	0
SRPK2	CNST	0	0	1	0	0	0	0	1	0	0	0	0
SRPK2	ERLIN2	0	0	0	0	0	0	0	0	0	0	0	1
SRPK2	ALS2	0	0	0	0	0	0	0	0	0	1	0	1
SRPK2	PARN	0	0	0	0	0	0	0	0	0	0	0	1
SRPK2	SETX	0	0	0	0	0	0	0	0	0	1	0	0
SRPK2	RANBP6	0	0	0	0	1	0	0	0	0	0	0	0
SRPK2	OCIAD1	0	0	0	0	0	1	0	0	0	0	0	0
SRPK2	GBF1	0	1	0	0	0	0	0	0	0	0	0	0
SRPK2	GNS	0	0	0	0	0	0	0	0	0	1	0	0
SRPK2	SRPK2	0	1	0	0	0	0	0	0	0	0	0	0
DARS2	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
DARS2	FAM126A	0	0	0	1	0	0	0	0	0	0	0	0
DARS2	HSCB	0	1	0	0	0	0	0	0	0	0	0	0
DARS2	C19orf12	0	0	0	1	0	0	0	0	0	0	0	0
DARS2	SDHA	0	0	0	0	0	0	0	0	0	1	0	0
DARS2	AFG3L2	0	0	0	1	0	0	0	0	0	0	0	0
DARS2	SIGMAR1	0	0	0	1	0	0	0	0	0	0	0	0
DARS2	ERLIN2	0	0	0	1	0	0	0	0	0	0	0	0
DARS2	MFN2	0	0	0	1	0	0	0	0	0	0	0	0
DARS2	ALS2	0	0	0	1	0	0	0	0	0	0	0	0
DARS2	SETX	0	0	0	1	0	0	0	0	0	0	0	0
DARS2	GBA2	0	0	0	1	0	0	0	0	0	0	0	0
DARS2	RANBP6	0	0	0	0	0	1	0	0	0	0	0	0
DARS2	ACO2	0	0	1	0	0	0	0	0	0	0	0	0
DARS2	DYNC1H1	0	0	0	1	0	0	0	0	1	0	0	0
DARS2	FIG4	0	0	0	0	0	0	1	0	1	0	0	0
SACS	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
SACS	FAM126A	0	0	0	1	0	0	1	0	0	0	0	0
SACS	C19orf12	0	0	0	1	0	0	0	0	0	0	0	0
SACS	GNB4	0	0	0	1	0	0	0	0	0	1	0	0
SACS	AFG3L2	0	0	0	1	0	0	0	0	0	0	1	0
SACS	JPH1	0	0	0	1	0	0	0	0	0	0	0	0
SACS	SIGMAR1	0	0	0	1	0	0	0	0	0	0	0	0
SACS	DCAF8	0	0	0	1	0	0	0	0	0	0	0	0
SACS	ERLIN2	0	0	0	1	0	0	0	0	0	0	0	0
SACS	MFN2	0	0	0	1	0	0	0	0	0	0	0	0
SACS	ALS2	0	0	0	1	0	0	0	0	0	0	0	0
SACS	SETX	0	0	0	1	0	0	0	0	0	0	0	0
SACS	GBA2	0	0	0	1	0	0	0	0	0	0	0	0
SACS	RANBP6	0	0	1	0	0	0	0	0	0	0	0	1
SACS	DYNC1H1	0	0	0	1	0	0	0	0	0	0	0	0
SACS	SRPK2	0	0	0	0	1	0	0	0	0	0	0	0
SACS	DARS2	0	0	0	1	0	0	0	0	0	0	0	0
MFN1	SPG11	0	0	1	0	0	0	0	0	1	0	0	0
MFN1	ATL3	0	0	0	0	0	0	0	0	0	0	0	1
MFN1	IARS2	0	0	0	0	0	0	0	0	0	0	0	1
MFN1	CAPZA2	0	0	0	0	0	0	0	0	1	0	0	0
MFN1	C19orf12	0	0	0	0	0	0	0	0	1	0	0	0
MFN1	SDHA	0	0	0	0	0	0	0	0	0	0	0	1
MFN1	MFN2	0	1	0	0	0	0	0	0	0	0	1	0
MFN1	HERC2	0	0	0	0	0	0	0	0	1	0	0	0
MFN1	MFN1	0	1	0	0	0	0	0	0	0	0	0	0
SPTLC1	SPG11	0	0	0	0	0	1	0	0	1	1	0	0
SPTLC1	ATL3	0	0	1	0	0	0	0	0	1	0	0	0
SPTLC1	FNDC3A	0	0	1	0	0	0	0	1	0	0	0	0
SPTLC1	CAPZA2	0	0	0	0	0	0	0	0	1	0	0	0
SPTLC1	CIAPIN1	0	0	0	0	0	0	0	0	0	1	0	0
SPTLC1	SYT2	0	0	0	1	0	0	0	0	0	0	0	0
SPTLC1	GNB4	0	0	0	1	0	0	0	0	0	0	0	0
SPTLC1	AFG3L2	0	0	0	0	0	0	1	0	1	0	0	0
SPTLC1	JPH1	0	0	0	1	0	0	0	0	0	0	0	0
SPTLC1	DCAF8	0	0	0	1	0	0	0	0	0	0	0	0
SPTLC1	ERLIN2	0	0	0	0	0	0	0	0	1	0	0	0
SPTLC1	MFN2	0	0	0	1	0	0	0	0	0	0	0	0
SPTLC1	ALS2	0	0	0	0	0	0	0	0	0	0	0	1
SPTLC1	PARN	0	0	0	0	0	0	0	0	0	0	0	1
SPTLC1	ACO2	0	0	0	0	0	0	0	0	1	0	0	0
SPTLC1	YARS	0	0	0	1	0	0	0	0	0	0	0	0
SPTLC1	GNS	0	0	0	0	1	0	0	0	1	0	0	0
SPTLC1	SRPK2	0	0	1	0	0	0	0	0	0	0	0	1
SPTLC1	DARS2	0	0	0	0	0	0	0	0	0	1	0	0
SPTLC1	SACS	0	0	0	1	0	0	0	0	0	0	0	0
SPTLC1	MFN1	0	0	0	0	0	0	0	0	1	0	0	0
GARS	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
GARS	C19orf12	0	0	0	1	0	0	0	0	0	0	0	0
GARS	CIAPIN1	0	1	0	0	0	0	0	0	0	0	0	0
GARS	SYT2	0	0	0	1	0	0	0	0	0	0	0	0
GARS	GNB4	0	0	0	1	0	0	0	0	0	0	0	0
GARS	JPH1	0	0	0	1	0	0	0	0	0	0	0	0
GARS	SIGMAR1	0	0	0	1	0	0	0	0	0	0	0	0
GARS	DCAF8	0	0	0	1	0	0	0	0	0	0	0	0
GARS	ERLIN2	0	0	0	1	0	0	0	0	0	0	0	0
GARS	MFN2	0	0	0	1	0	0	0	0	0	0	0	0
GARS	ALS2	0	0	0	1	0	0	0	0	0	0	0	0
GARS	SETX	0	0	0	1	0	0	0	0	0	0	0	0
GARS	HARS	0	1	0	0	0	0	0	0	0	0	0	0
GARS	DYNC1H1	0	0	0	1	0	0	0	0	0	0	0	0
GARS	YARS	0	0	0	1	0	0	0	0	0	0	0	0
GARS	SACS	0	0	0	1	0	0	0	0	0	0	0	0
GARS	SPTLC1	0	0	0	1	0	0	0	0	0	0	0	0
GARS	GARS	0	1	0	0	0	0	0	0	0	0	0	0
GAN	SPG11	0	0	0	1	0	0	0	0	0	0	0	0
GAN	NEFH	0	1	0	0	0	0	0	0	0	0	0	0
GAN	FAM126A	0	1	0	1	0	0	0	0	0	0	0	0
GAN	SGPL1	0	0	0	0	0	0	1	0	0	0	0	0
GAN	ATL3	0	0	0	0	0	0	0	1	0	0	0	0
GAN	C19orf12	0	0	0	1	0	0	0	0	0	0	0	0
GAN	GNB4	0	0	0	1	0	0	0	0	0	0	0	0
GAN	JPH1	0	0	0	1	0	0	0	0	0	0	0	0
GAN	SIGMAR1	0	0	0	1	0	0	0	0	0	0	0	0
GAN	DCAF8	0	0	0	1	0	0	0	0	0	0	0	0
GAN	ERLIN2	0	0	0	1	0	0	0	0	0	0	0	0
GAN	MFN2	0	0	0	1	0	0	0	0	0	0	0	0
GAN	ALS2	0	0	0	1	0	0	0	0	0	0	0	0
GAN	SETX	0	0	0	1	0	0	0	0	0	0	0	0
GAN	GBA2	0	0	0	1	0	0	0	0	1	0	0	0
GAN	RANBP6	0	0	1	0	0	0	0	0	0	0	0	0
GAN	DYNC1H1	0	0	0	1	0	0	0	0	0	0	0	0
GAN	DARS2	0	0	0	1	0	0	0	0	0	0	0	0
GAN	SACS	0	0	0	1	0	0	0	0	0	0	0	0
GAN	GARS	0	0	0	1	0	0	0	0	0	0	0	0
GAN	GAN	0	1	0	0	0	0	0	0	0	0	0	0
CDC73	NARS1	0	0	0	0	0	0	0	0	1	0	0	0
CDC73	NEFH	0	1	0	0	0	0	0	0	0	0	0	0
CDC73	GNB4	0	0	1	0	0	0	0	0	0	0	0	0
CDC73	AFG3L2	0	0	0	0	0	0	0	0	1	0	0	0
CDC73	CNST	0	0	0	0	0	0	0	0	0	0	0	1
CDC73	SETX	0	0	0	0	0	0	0	0	0	1	0	0
CDC73	RANBP6	0	0	0	0	0	0	0	0	0	0	0	1
CDC73	OCIAD1	0	0	0	0	0	0	0	0	1	0	0	0
CDC73	GBF1	0	1	0	0	0	0	0	0	0	0	0	0
NEURL4	IARS2	0	1	0	0	0	0	0	0	0	0	0	0
NEURL4	SYT2	0	0	0	0	0	1	0	0	0	0	0	0
NEURL4	DCAF8	0	0	0	0	0	1	1	0	0	0	0	0
NEURL4	ALS2	0	1	0	0	0	0	0	0	1	0	0	0
NEURL4	DYNC1H1	0	0	0	0	0	0	0	0	0	0	0	1
NEURL4	HERC2	0	1	0	0	0	0	0	0	0	0	0	0
NEURL4	NEURL4	0	1	0	0	0	0	0	0	0	0	0	0
ATP6AP1	SARS1	0	0	0	0	1	0	1	0	0	0	0	0
ATP6AP1	SPG11	0	0	0	0	0	0	0	0	0	1	0	0
ATP6AP1	IARS2	0	0	0	0	0	0	0	0	0	1	0	0
ATP6AP1	SDHA	0	0	0	0	0	0	0	1	0	1	0	0
ATP6AP1	AFG3L2	0	0	0	0	0	0	0	0	1	0	0	0
ATP6AP1	SIGMAR1	0	0	0	0	0	0	0	0	1	0	0	0
ATP6AP1	MFN2	0	0	1	0	0	0	1	1	0	0	0	0
ATP6AP1	DYNC1H1	0	0	0	0	0	0	1	0	1	0	0	0
ATP6AP1	GNS	0	0	1	0	0	0	0	0	0	0	0	0
ATP6AP1	SPTLC1	0	0	0	0	0	0	0	0	0	1	0	0
GOT2	SARS1	0	0	1	0	1	0	0	1	0	0	0	0
GOT2	POLR3B	0	0	0	0	0	0	0	0	1	0	0	0
GOT2	FIG4	0	0	0	0	1	0	0	0	1	0	0	0
DNMT1	SPG11	0	0	0	0	0	1	0	0	0	0	0	0
DNMT1	IGHMBP2	0	0	0	0	0	0	0	1	0	0	0	0
DNMT1	C19orf12	0	0	0	1	0	0	0	0	0	0	0	0
DNMT1	MFN2	0	0	0	0	0	0	0	0	1	0	0	0
DNMT1	ALS2	0	0	0	0	0	0	0	0	1	0	0	0
