V1	V2	MP.tsv	ppi.tsv	coex_HRV.tsv	coex_ATT.tsv	coex_STM.tsv	HP.tsv	drugs_KEGG.tsv	coex_CLT.tsv	coex_HRA.tsv	coex_ATA.tsv	coex_EMC.tsv	co-essential.tsv	coex_ARG.tsv	coex_KDN.tsv	coex_ADS.tsv	coex_VGN.tsv	coex_GEJ.tsv	coex_ITI.tsv	coex_WBL.tsv	coex_BRB.tsv	coex_THY.tsv
ANK2	SCN3B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	GPD1L	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ANK2	HACD1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ANK2	CASQ2	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	MRPL44	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	NDUFAF1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	CACNB2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	SCN1B	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ANK2	KCNE1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	EYA4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMNA	GET3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LMNA	HACD1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMNA	MYH7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMNA	PRDM16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMNA	LMNA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	TECRL	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	HACD1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ACTC1	CALR3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	GATAD1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	RPL3L	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	CASQ2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	MYL4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	MYL3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	EYA4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	MYH7	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	LAMA4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C	CALM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C	TECRL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C	SCN3B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C	GPD1L	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C	HACD1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
CACNA1C	CASQ2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C	CACNB2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C	KCNE1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C	EYA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CACNA1C	ANK2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
PPCS	GET3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
PPCS	CALM3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PPCS	CALM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PPCS	TMEM168	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PPCS	GPD1L	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
PPCS	MRPL3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PPCS	PSEN1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
PPCS	PPCS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSP	TECRL	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DSP	GPD1L	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DSP	CASQ2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DSP	MRPL44	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DSP	NDUFAF1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DSP	PRDM16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSP	PSEN1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
DSP	ANK2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DSP	ACTC1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSP	DSP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAG5	MRPL44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
BAG5	LMNA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BAG5	PPCS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
BAG5	BAG5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMD	HACD1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
DMD	GATAD1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMD	CACNB2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
DMD	MYH7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMD	PRDM16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
DMD	LAMA4	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
DMD	ANK2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
DMD	LMNA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMD	ACTC1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMD	DMD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCND3	GPD1L	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KCND3	MRPL44	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KCND3	LAMA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
KCND3	ANK2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KCND3	CACNA1C	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
KCND3	DSP	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KCND3	KCND3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	CALM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	GPD1L	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	GATAD1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	CASQ2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	MRPL44	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	KCNE1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	EYA4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	MYH7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	PRDM16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	LAMA4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	PSEN1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
DSG2	ANK2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	ACTC1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	DMD	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSG2	KCND3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	TECRL	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	HACD1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	GATAD1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	RPL3L	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	CASQ2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	MYL4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	MYL3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACTN2	EYA4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	MYH7	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	LAMA4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	ACTC1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	DSP	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	DSG2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	ACTN2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAP2	CALM3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CAP2	TECRL	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CAP2	SCN3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CAP2	GPD1L	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CAP2	CACNB2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAP2	LAMA4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CAP2	ANK2	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
CAP2	CACNA1C	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
CAP2	DSP	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CAP2	DSG2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CAP2	ACTN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CAP2	CAP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCN4	CALM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCN4	SCN3B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCN4	GPD1L	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCN4	RPL3L	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCN4	CACNB2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCN4	KCNE1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCN4	ANK2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCN4	CACNA1C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HCN4	HCN4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2	CALM2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
PRKAG2	VEZF1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PRKAG2	SCN3B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2	GPD1L	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2	CALR3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2	CASQ2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PRKAG2	MYL3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2	CACNB2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
PRKAG2	KCNE1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2	EYA4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2	ANK2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2	CACNA1C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2	DMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PRKAG2	DSG2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2	HCN4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKAG2	PRKAG2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JPH2	CALM3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JPH2	CALR3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JPH2	MYL3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JPH2	CACNB2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
JPH2	EYA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
JPH2	PRDM16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
JPH2	LAMA4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
JPH2	ANK2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
JPH2	ACTC1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
JPH2	DMD	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
JPH2	ACTN2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JPH2	PRKAG2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN4B	CALM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN4B	TECRL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN4B	SCN3B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN4B	GPD1L	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN4B	CASQ2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SCN4B	CACNB2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN4B	SCN1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SCN4B	KCNE1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN4B	EYA4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SCN4B	PRDM16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN4B	ANK2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
