V1	V2	coex_BRO.tsv	HP.tsv	coex_THY.tsv	ppi.tsv	coex_BRB.tsv	coex_LCL.tsv	coex_HRA.tsv	coex_WBL.tsv	coex_LNG.tsv	coex_ARG.tsv	coex_PIT.tsv	coex_MSG.tsv
ATRX	RNU4ATAC	0	1	0	0	0	0	0	0	0	0	0	0
ATRX	DNMT3B	0	1	0	0	0	0	0	0	0	0	0	0
ATRX	CDCA7	0	1	0	0	0	0	0	0	0	0	0	0
ATRX	SIN3A	0	1	0	0	0	0	0	0	0	0	0	0
ATRX	TBX1	0	1	0	0	0	0	0	0	0	0	0	0
ATRX	EXT2	0	1	0	0	0	0	0	0	0	0	0	1
ATRX	SEMA3E	0	1	0	0	0	0	0	0	0	0	0	0
ATRX	XRCC4	0	1	0	0	0	0	0	0	0	0	0	0
FLT3	FLT3LG	0	0	0	1	0	0	0	0	0	0	0	0
ORAI1	CRACR2A	0	0	0	1	0	0	0	0	0	0	0	0
ORAI1	CYP26C1	0	1	0	0	0	0	0	0	0	0	0	0
ORAI1	CYP2C19	0	1	0	0	0	0	0	0	0	0	0	0
ORAI1	KHDC3L	0	1	0	0	0	0	0	0	0	0	0	0
IKBKG	GINS4	0	0	0	1	0	0	0	0	0	0	0	0
IKBKG	MCM10	0	0	0	1	0	0	0	0	0	0	0	0
IKBKG	ILF3	0	0	1	0	0	0	0	0	0	0	0	0
IKBKG	CASP8	0	0	0	1	0	0	0	0	0	0	0	0
IKBKG	FLT3	0	0	0	1	0	0	0	0	0	0	0	0
MBD5	HNRNPL	0	0	0	1	0	0	0	0	0	0	0	0
MBD5	SIN3A	0	1	0	0	0	0	0	0	0	0	0	0
MBD5	EXT2	0	0	0	0	0	0	0	0	0	1	0	1
MBD5	ATRX	0	1	0	0	0	0	0	0	0	0	0	0
SKIV2L	ESR2	0	0	0	1	0	0	0	0	0	0	0	0
SKIV2L	HNRNPL	0	0	0	0	0	0	1	0	0	0	0	0
SKIV2L	ILF3	0	0	0	0	0	0	1	0	0	0	0	1
SKIV2L	ZAP70	0	1	0	0	0	0	0	0	0	0	0	0
SKIV2L	IL21R	0	1	0	0	0	0	0	0	0	0	0	0
SKIV2L	NTRK1	0	0	0	1	0	0	0	0	0	0	0	0
SKIV2L	CASP8	0	1	0	0	0	0	0	0	0	0	0	0
TTC37	ESR2	0	0	0	1	0	0	0	0	0	0	0	0
TTC37	NTRK1	0	0	0	1	0	0	0	0	0	0	0	0
TTC37	TBX1	0	1	0	0	0	0	0	0	0	0	0	0
TTC37	EXT2	0	0	0	0	0	0	0	0	0	1	0	0
TTC37	MBD5	0	0	0	0	0	0	1	0	0	0	1	0
TTC37	SKIV2L	0	1	0	1	0	0	0	0	0	0	0	0
BLM	POLE2	0	0	0	0	0	1	0	0	0	0	0	0
BLM	GINS4	0	0	0	0	0	1	0	0	0	0	0	0
BLM	TERF2	0	0	0	1	0	0	0	0	0	0	0	0
BLM	ESR2	0	0	0	1	0	0	0	0	0	0	0	0
BLM	CASP8	0	0	0	1	0	0	0	0	0	0	0	0
BLM	ATRX	0	0	0	1	0	0	0	0	0	0	0	0
FAT4	RNU4ATAC	0	1	0	0	0	0	0	0	0	0	0	0
FAT4	SIN3A	0	1	0	0	0	0	0	0	0	0	0	0
FAT4	TBX1	0	1	0	0	0	0	0	0	0	0	0	0
FAT4	SEMA3E	0	1	0	0	0	0	0	0	0	0	0	0
FAT4	ATRX	0	1	0	0	0	0	0	0	1	0	0	0
ERCC6L2	CYP26C1	0	1	0	0	0	0	0	0	0	0	0	0
ERCC6L2	CYP2C19	0	1	0	0	0	0	0	0	0	0	0	0
ERCC6L2	KHDC3L	0	1	0	0	0	0	0	0	0	0	0	0
ERCC6L2	SIN3A	0	0	0	0	0	0	0	0	0	0	1	0
ERCC6L2	FAT4	0	0	0	0	0	0	0	0	0	0	0	1
LIG4	SMARCAL1	0	0	0	0	0	0	0	0	0	1	0	0
LIG4	HELLS	0	1	0	0	0	0	0	0	0	0	0	0
LIG4	RNU4ATAC	0	1	0	0	0	0	0	0	0	0	0	0
LIG4	CDCA7	0	1	0	0	0	0	0	0	0	0	0	0
LIG4	SIN3A	0	1	0	0	0	0	0	0	0	0	0	0
LIG4	RMRP	0	1	0	0	0	0	0	0	0	0	0	0
LIG4	TBX1	0	1	0	0	0	0	0	0	0	0	0	0
LIG4	SEMA3E	0	1	0	0	0	0	0	0	0	0	0	0
LIG4	XRCC4	0	1	0	1	0	0	0	0	0	0	0	0
LIG4	ATRX	0	1	0	0	0	0	0	0	0	0	0	0
LIG4	BLM	0	1	0	0	0	0	0	0	0	0	0	0
LIG4	FAT4	0	1	0	0	0	0	0	0	0	0	0	0
LIG4	ERCC6L2	0	0	0	0	0	0	0	1	0	0	0	0
SLC19A1	HNRNPL	0	0	0	1	0	0	0	0	0	0	0	0
USP49	SMARCAL1	0	0	0	0	0	0	0	0	0	0	1	0
USP49	SIN3A	0	0	0	0	0	0	0	0	0	0	1	0
USP49	ATRX	0	0	0	0	0	1	0	0	0	0	0	0
USP49	TTC37	0	0	0	0	0	1	0	0	0	0	0	0
EPG5	HNRNPL	0	0	0	0	0	0	0	0	0	0	0	1
EPG5	SMARCAL1	0	0	0	0	0	0	0	0	0	1	0	0
EPG5	TBX1	0	1	0	0	0	0	0	0	0	0	0	0
EPG5	ATRX	0	1	0	0	0	0	0	0	1	0	0	0
PKIB	SEMA3E	0	0	0	0	1	0	0	0	0	0	0	0
ZNF783	SKIV2L	0	0	1	0	0	0	0	0	0	0	0	1
PHACTR4	ILF3	0	0	0	0	0	1	0	0	0	0	0	0
PHACTR4	RNF168	0	0	0	0	0	0	0	1	0	0	0	0
PHACTR4	SIN3A	0	0	0	0	0	1	0	0	0	0	0	0
PHACTR4	CASP8	0	0	0	0	0	0	0	0	0	1	0	0
PHACTR4	ZNF783	0	0	0	0	0	0	0	0	0	0	1	0
RYR1	ESR2	0	0	0	1	0	0	0	0	0	0	0	0
RYR1	TBX1	0	0	0	0	0	0	0	0	0	0	0	1
RYR1	ORAI1	0	1	0	0	0	0	0	0	0	0	0	0
PNP	ZAP70	0	1	0	0	0	0	0	0	0	0	0	0
PNP	ICOS	0	1	0	0	0	0	0	0	0	0	0	0
PNP	CD19	0	1	0	0	0	0	0	0	0	0	0	0
PNP	DNMT3B	0	1	0	0	0	0	0	0	0	0	0	0
PNP	CR2	0	1	0	0	0	0	0	0	0	0	0	0
PNP	TNFRSF13B	0	1	0	0	0	0	0	0	0	0	0	0
PNP	CASP8	0	1	0	0	0	0	0	0	0	0	0	0
PNP	ORAI1	1	0	0	0	0	0	0	0	0	0	0	0
PNP	ERCC6L2	0	1	0	0	0	0	0	0	0	0	0	0
CARD11	FLT3LG	0	0	0	0	0	0	0	1	0	0	0	0
CARD11	ZAP70	0	1	0	1	0	0	0	0	0	0	0	0
CARD11	CYP26C1	0	1	0	0	0	0	0	0	0	0	0	0
CARD11	IL21R	0	1	1	0	0	0	0	1	0	0	0	0
CARD11	CYP2C19	0	1	0	0	0	0	0	0	0	0	0	0
CARD11	ICOS	0	1	1	0	0	0	0	0	0	0	0	0
CARD11	CD19	0	1	0	0	0	0	0	0	0	0	0	0
CARD11	KHDC3L	0	1	0	0	0	0	0	0	0	0	0	0
CARD11	CD3G	0	1	1	0	0	0	0	0	0	0	0	0
CARD11	CD79B	0	1	1	0	0	0	0	0	0	0	0	0
CARD11	CR2	0	1	0	0	0	0	0	0	0	0	0	0
CARD11	CD28	0	0	1	0	0	0	0	0	0	0	0	0
CARD11	CTLA4	0	0	1	0	0	0	0	0	0	0	0	0
CARD11	TNFRSF13B	0	1	1	0	0	0	0	0	0	0	0	0
CARD11	CASP8	0	1	0	1	0	0	0	0	0	0	0	0
CARD11	IKBKG	0	0	0	1	0	0	0	0	0	0	0	0
CARD11	RYR1	0	0	0	0	0	0	0	0	0	0	1	0
RAD50	TERF2	0	0	0	1	0	0	0	0	0	0	0	0
RAD50	ESR2	0	0	0	1	0	0	0	0	0	0	0	0
RAD50	ILF3	0	0	0	1	0	0	0	0	0	0	0	0
RAD50	CYP26C1	0	1	0	0	0	0	0	0	0	0	0	0
RAD50	CYP2C19	0	1	0	0	0	0	0	0	0	0	0	0
RAD50	KHDC3L	0	1	0	0	0	0	0	0	0	0	0	0
RAD50	NTRK1	0	0	0	1	0	0	0	0	0	0	0	0
RAD50	ATRX	0	0	0	1	0	0	1	0	0	0	0	0
RAD50	MBD5	1	0	0	0	0	0	0	0	0	0	1	0
RAD50	BLM	0	0	0	1	0	0	0	0	0	0	0	0
TRIM52	CRACR2A	0	0	0	0	0	0	0	0	0	0	0	1
TRIM52	SIN3A	0	0	0	0	0	0	0	0	0	0	1	0
TRIM52	ATRX	0	0	0	0	0	1	0	1	0	0	0	0
TRIM52	ERCC6L2	0	0	0	0	0	0	0	0	0	0	1	0
MCMBP	POP4	0	0	0	0	0	0	0	0	0	1	0	0
MCMBP	GINS4	0	0	0	1	0	0	0	0	0	0	0	0
MCMBP	MCM10	0	0	0	1	0	0	0	0	0	0	0	0
MCMBP	RNF168	0	0	0	0	0	0	0	0	0	0	1	1
MCMBP	NTRK1	0	0	0	1	0	0	0	0	0	0	0	0
MCMBP	ERCC6L2	0	0	0	0	0	0	0	0	0	0	1	0
NSMCE3	ILF3	0	0	0	0	0	0	0	1	0	0	0	0
NSMCE3	EXT2	0	0	0	0	0	0	0	1	0	0	0	0
KIAA0895L	HNRNPL	0	0	0	1	0	0	0	0	0	0	0	0
KIAA0895L	SKIV2L	0	0	0	0	0	0	0	0	0	0	1	0
KIAA0895L	ZNF783	0	0	0	0	0	0	1	0	0	0	0	0
KIAA0895L	TRIM52	0	0	0	0	0	0	0	0	0	1	0	0
ACBD3	RNF168	0	0	0	0	0	0	0	0	0	1	0	0
ACBD3	NTRK1	0	0	0	1	0	0	0	0	0	0	0	0
ACBD3	ATRX	0	0	0	0	0	0	0	1	0	0	0	0
LRCH3	TERF2	0	0	0	0	0	0	0	0	0	1	0	0
LRCH3	ESR2	0	0	0	1	0	0	0	0	0	0	0	0
LRCH3	HNRNPL	0	0	0	1	0	0	0	0	0	0	0	0
LRCH3	RNF168	0	0	1	0	0	0	0	0	0	0	0	0
LRCH3	SIN3A	0	0	0	0	0	0	0	0	0	0	1	0
LRCH3	NTRK1	0	0	0	1	0	0	0	0	0	0	0	0
LRCH3	ERCC6L2	0	0	0	0	0	0	0	0	0	0	1	0
LRCH3	USP49	0	0	0	0	0	0	1	0	0	0	1	0
LRCH3	ZNF783	0	0	0	0	0	0	0	0	0	0	0	1
LRCH3	RAD50	0	0	0	0	0	1	0	0	0	0	0	0
LRCH3	MCMBP	0	0	0	0	0	0	0	0	0	0	1	0
TCN2	HNRNPL	0	0	0	0	0	0	0	0	0	0	1	0
TCN2	ORAI1	1	0	0	0	0	0	0	0	0	0	0	0
TCN2	ERCC6L2	0	1	0	0	0	0	0	0	0	0	0	0
TCN2	PNP	0	1	0	0	0	0	0	0	0	0	0	0
IRF7	RNF168	0	1	0	0	0	0	0	0	0	0	0	0
IRF7	CYP26C1	0	1	0	0	0	0	0	0	0	0	0	0
IRF7	FOXN1	0	1	0	0	0	0	0	0	0	0	0	0
IRF7	IL21R	0	1	0	0	0	0	0	0	0	0	0	0
IRF7	CYP2C19	0	1	0	0	0	0	0	0	0	0	0	0
IRF7	ICOS	0	1	0	0	0	0	0	0	0	0	0	0
IRF7	CD19	0	1	0	0	0	0	0	0	0	0	0	0
IRF7	KHDC3L	0	1	0	0	0	0	0	0	0	0	0	0
IRF7	CD3G	0	1	0	0	0	0	0	0	0	0	0	0
IRF7	CD79B	0	1	0	0	0	0	0	0	0	0	0	0
IRF7	CR2	0	1	0	0	0	0	0	0	0	0	0	0
IRF7	TNFRSF13B	0	1	0	0	0	0	0	0	0	0	0	0
IRF7	ORAI1	1	0	0	0	0	0	0	0	0	0	0	0
IRF7	PNP	1	0	0	0	0	0	0	0	0	0	0	0
IRF7	CARD11	0	1	0	0	0	0	0	0	0	0	0	0
TARSL2	SMARCAL1	0	0	0	0	0	0	0	0	0	0	1	0
TARSL2	SIN3A	0	0	0	0	0	0	0	0	0	0	1	0
TARSL2	USP49	0	0	0	0	0	0	0	0	0	0	1	0
TARSL2	EPG5	0	0	0	0	0	0	1	0	0	0	0	0
TARSL2	ZNF783	0	0	0	0	0	0	0	0	0	0	0	1
TARSL2	TRIM52	0	0	0	0	0	0	0	0	0	0	1	0
SP140L	HNRNPL	0	0	0	0	0	0	0	1	0	0	0	0
SP140L	ILF3	0	0	0	0	0	0	0	1	0	0	0	0
SP140L	HELLS	0	0	1	0	0	0	0	0	0	0	0	0
SP140L	ZAP70	0	0	1	0	0	0	0	0	0	0	0	0
SP140L	CD3G	0	0	1	0	0	0	0	0	0	0	0	0
SP140L	ORAI1	1	0	0	0	0	0	0	0	0	0	0	0
SP140L	ZNF783	0	0	0	0	0	0	1	0	0	0	0	0
SP140L	PHACTR4	0	0	0	0	0	0	0	0	0	1	0	0
SP140L	CARD11	0	0	1	0	0	0	0	0	0	0	0	0
SP140L	TRIM52	0	0	0	0	0	0	0	0	1	0	0	1
SP140L	NSMCE3	0	0	0	0	0	0	0	1	0	0	0	0
SP140L	LRCH3	0	0	0	0	0	0	0	0	0	0	0	1
SP140L	IRF7	1	0	0	0	0	0	0	0	0	0	0	0
PRKX	HNRNPL	0	0	0	1	0	0	0	0	0	0	0	0
PRKX	ILF3	0	0	0	0	0	0	0	1	0	0	0	0
PRKX	PHACTR4	0	0	0	0	0	0	0	0	0	0	0	1
PRKX	RYR1	0	0	0	0	0	0	0	0	0	0	1	0
PRKX	CARD11	0	0	0	0	0	0	0	0	0	0	1	0
PRKX	NSMCE3	0	0	0	0	0	0	0	1	0	0	0	0
CCBE1	SIN3A	0	1	0	0	0	0	0	0	0	0	0	0
CCBE1	TBX1	0	1	0	0	0	0	0	0	0	0	0	0
CCBE1	SEMA3E	0	1	0	0	0	0	0	0	0	0	0	0
CCBE1	ATRX	0	1	0	0	0	0	0	0	0	0	0	0
CCBE1	FAT4	0	1	0	0	0	0	0	0	0	0	0	0
CCBE1	LIG4	0	1	0	0	0	0	0	0	0	0	0	0
PFAS	POP4	0	0	0	0	0	0	0	0	0	0	1	0
PFAS	GINS4	0	0	0	0	0	1	0	0	0	0	0	0
PFAS	MCM10	0	0	0	0	0	1	0	0	0	0	0	0
PFAS	HNRNPL	0	0	0	0	0	0	0	0	0	0	1	1
PFAS	NTRK1	0	0	0	1	0	0	0	0	0	0	0	0
PFAS	ATRX	0	0	0	0	0	0	0	0	0	0	1	0
PFAS	IKBKG	0	0	0	0	0	0	0	0	0	1	0	0
PFAS	SKIV2L	1	0	0	0	0	0	0	0	0	1	0	1
PFAS	SLC19A1	0	0	0	0	0	1	0	0	0	0	0	1
PFAS	SP140L	0	0	0	0	0	0	0	0	0	1	0	0
PRPF8	SMARCAL1	0	0	0	0	0	0	0	0	0	0	1	0
PRPF8	ILF3	0	0	0	1	0	0	0	0	0	0	0	0
PRPF8	NTRK1	0	0	0	1	0	0	0	0	0	0	0	0
PRPF8	SPINK5	0	0	0	1	0	0	0	0	0	0	0	0
PRPF8	EXT2	0	0	0	0	0	0	0	1	0	0	0	0
PRPF8	ATRX	0	0	0	0	0	0	0	0	0	0	0	1
PRPF8	SKIV2L	1	0	0	0	0	1	0	0	0	0	0	0
PRPF8	ERCC6L2	0	0	0	0	0	0	0	0	0	0	1	0
PRPF8	USP49	0	0	0	0	0	0	0	0	0	0	1	0
PRPF8	PHACTR4	0	0	0	0	0	1	0	0	0	0	0	0
PRPF8	TRIM52	0	0	0	0	0	0	0	0	0	0	1	0
PRPF8	LRCH3	0	0	0	0	0	0	0	0	0	0	1	0
PRPF8	TARSL2	0	0	0	0	0	0	0	0	0	0	1	0
PRPF8	PFAS	1	0	0	0	0	1	0	0	0	0	0	0
EPS8L2	SLC19A1	0	0	1	0	0	0	0	0	0	0	0	0
EPS8L2	USP49	0	0	1	0	0	0	0	0	0	0	0	0
CTBP2	ESR2	0	0	0	1	0	0	0	0	0	0	0	0
CTBP2	HNRNPL	0	0	0	1	0	0	0	0	0	0	0	0
CTBP2	EXT2	0	0	0	0	0	0	0	0	0	0	1	0
CTBP2	MCMBP	0	0	0	0	0	0	0	1	0	0	0	0
CTBP2	LRCH3	0	0	0	0	0	0	0	0	1	0	0	1
CTBP2	SP140L	0	0	0	0	0	0	0	0	0	0	1	0
STAT5B	POP4	0	0	0	0	0	0	0	0	0	0	1	0
STAT5B	HNRNPL	0	0	0	1	0	0	1	0	0	0	0	0
STAT5B	ILF3	0	0	0	0	0	0	0	0	0	0	1	0
STAT5B	RNF168	0	0	0	0	0	0	1	0	0	0	0	0
STAT5B	NTRK1	0	0	0	1	0	0	0	0	0	0	0	0
STAT5B	CTLA4	0	0	0	1	0	0	0	0	0	0	0	0
STAT5B	TFG	0	0	0	1	0	0	0	0	0	0	0	0
STAT5B	ATRX	0	0	0	0	0	1	0	0	0	0	0	0
STAT5B	MBD5	0	0	0	0	0	0	0	0	0	0	0	1
STAT5B	SLC19A1	0	0	0	0	0	0	0	1	0	0	0	0
STAT5B	ZNF783	0	0	0	0	0	0	0	0	0	0	0	1
STAT5B	MCMBP	0	0	0	1	0	0	0	0	0	0	0	0
STAT5B	TARSL2	0	0	0	0	0	0	0	0	0	0	0	1
STAT5B	CTBP2	1	0	0	0	0	0	1	0	0	0	0	0
AFF1	ESR2	0	0	0	1	0	0	0	0	0	0	0	0
